KeyLastWriteTime,Path,Key
2018-01-20 07:19:11.807272,\{My Computer}\D:\\BoB\박문범멘토님\20180113\분석툴\TUI,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\1\6 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\180121,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\Exploits,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\180121 (2),S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\새 폴더,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-24 06:56:10.988556,\{My Computer}\D:\\BoB\박문범멘토님\180224,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2 @ 0x0
2018-02-24 07:02:37.389956,\{My Computer}\D:\\BoB\박문범멘토님\180224\Ubuntu_14.01_X64 - Bangsiri Web,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\6 @ 0x0
2018-02-24 07:02:37.389956,\{My Computer}\D:\\BoB\박문범멘토님\180224\Ubuntu_14.01_X64 - Router,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\6 @ 0x0
2018-02-24 07:02:37.389956,\{My Computer}\D:\\BoB\박문범멘토님\180224\Ubuntu_14.01_X64 -Bangsiri DB Server,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\2\6 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\곽경주멘토님,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-01-13 07:06:17.722076,\{My Computer}\D:\\BoB\곽경주멘토님\yara,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\3 @ 0x0
